Year,expense ratios
2000,0.99
2001,0.99
2002,1.00
2003,1.00
2004,0.95
2005,0.91
2006,0.88
2007,0.86
2008,0.83
2009,0.87
2010,0.83
2011,0.79
2012,0.77
2013,0.74
2014,0.70
2015,0.67
2016,0.63
2017,0.59
